ID;fullName;department;title;role;industries;directReport;startDate;email
88f03a0d-e559-4bf6-89a6-b64fcf25e217;John Smith;Finance;Director of Finance;Director;Finance;VP of Finance;2014-01-01;johnsmith@mindsetconsulting.com
19a2a04c-e41e-4c85-81e4-33ca4a755fb1;Jane Doe;DevOps;Junior Developer;Developer;Manufacturing;Director of DevOps;2020-02-02;janedoe@mindsetconsulting.com
fa9fe520-f41e-4ef8-a91b-9a85922780bd;Lisabeth Ganforth;Marketing;GIS Technical Architect;Architect;Business Services;Ellynn Matiebe;2022-01-15;ematiebe0@free.fr
e28c163e-eb0a-4cb0-9d2d-780cb32e5e54;Chlo Baudinet;Product Management;Clinical Specialist;Construction Foreman;Military/Government/Technical;Dayna Berndtsson;2021-08-15;dberndtsson1@slashdot.org
11e7634a-6f83-455c-98b5-e7b958c5d324;Jeanne Pietasch;Services;VP Accounting;Architect;n/a;Hurleigh Arnfield;2021-06-18;harnfield2@va.gov
c28f2c08-6a29-4771-b942-063f2c1c46f5;Salvidor Tomblin;Human Resources;Programmer Analyst III;Estimator;Real Estate Investment Trusts;Arlyn Rowet;2021-07-20;arowet3@wikispaces.com
b81a43cd-8179-4c6d-a885-924bf47698cb;Donovan Crannach;Accounting;Help Desk Operator;Supervisor;EDP Services;Odessa Longbothom;2021-11-23;olongbothom4@wufoo.com
ad7bf7e0-b24e-416d-a908-947d818ddc66;Janaya Asbury;Training;Desktop Support Technician;Subcontractor;Oilfield Services/Equipment;Ingamar Pallent;2021-07-06;ipallent5@fema.gov
0a351417-4fd7-42a3-9193-ef88aad63423;Jaquenetta Lawie;Product Management;Electrical Engineer;Architect;Restaurants;Marlee Deniske;2021-06-14;mdeniske6@goodreads.com
444a9d55-4a97-4262-a0c3-76438126b199;Francoise Stapells;Support;Assistant Professor;Supervisor;Telecommunications Equipment;Jillian Inett;2021-09-14;jinett7@google.ca
